language,script,country,hyperlink
"Chinese, Mandarin",普通 话,_TOP,https://nextstep.is/om0zQaul
"Chinese, Mandarin",普通 话,China,https://nextstep.is/om0zQaul
"Chinese, Mandarin",普通 话,Hong Kong,https://nextstep.is/om0zQaul
"Chinese, Mandarin",普通 话,Macau,https://nextstep.is/om0zQaul
"Chinese, Mandarin",普通 话,Singapore,https://nextstep.is/om0zQaul
"Chinese, Mandarin",普通 话,"Taiwan, R.O.C.",https://nextstep.is/om0zQaul
"Chinese, Qinghai Hui",,China,https://mylanguage.net.au/watch_online/chn%2A9/JESUS/1_21211-jf6112-0-0
"Chinese, Sichuan",,China,https://mylanguage.net.au/watch_online/chn%2A9/JESUS/1_23062-jf6112-0-0
"Chinese, Taiwan",,"Taiwan, R.O.C.",https://mylanguage.net.au/watch_online/chn%2A9/JESUS/1_23221-jf6112-0-0
"Chinese, Yunnan (Kunming)",,China,https://mylanguage.net.au/watch_online/chn%2A9/JESUS/1_23061-jf6112-0-0
Chitembo,,DRCongo,https://mylanguage.net.au/watch_online/Chi97/JESUS/1_47429-jf6112-0-0
Chodri,,India,https://mylanguage.net.au/watch_online/cdi00/JESUS/1_5648-jf6112-0-0
"Chokwe, Angola",,Angola,https://mylanguage.net.au/watch_online/Cho99/JESUS/1_23492-jf6112-0-0
"Chokwe, Congo",,DRCongo,https://mylanguage.net.au/watch_online/Cho99/JESUS/1_23491-jf6112-0-0
"Chol, Tumbala",,Mexico,https://mylanguage.net.au/watch_online/ctu00/JESUS/1_8315-jf6112-0-0
Chopi,,Mozambique,https://mylanguage.net.au/watch_online/cce00/JESUS/1_8420-jf6112-0-0
Chumburung,,Ghana,https://mylanguage.net.au/watch_online/ncu00/JESUS/1_5232-jf6112-0-0
Chuvash,,Russia,https://mylanguage.net.au/watch_online/cju00/JESUS/1_18574-jf6112-0-0
Chwabo,,Mozambique,https://mylanguage.net.au/watch_online/chw00/JESUS/1_8426-jf6112-0-0
Cishingini,,Nigeria,https://mylanguage.net.au/watch_online/asg00/JESUS/1_9316-jf6112-0-0
C'Lela,,Nigeria,https://mylanguage.net.au/watch_online/dri00/JESUS/
Colombian Sign Language,,Colombia,https://mylanguage.net.au/watch_online/spn00/JESUS/1_4247-jf-0-0
"Comorian, Shingazidja",,Comoros,https://mylanguage.net.au/watch_online/zdj00/JESUS/1_15903-jf6112-0-0
Cora,,Mexico,https://mylanguage.net.au/watch_online/cor00/JESUS/1_8323-jf6112-0-0
Costa Rican Sign Language,,Costa Rica,https://mylanguage.net.au/watch_online/spn00/JESUS/1_4394-jf-0-0
"Cree, Western",,Canada,https://mylanguage.net.au/watch_online/crp00/JESUS/1_3087-jf6112-0-0
Crimean Tatar,,Uzbekistan,https://mylanguage.net.au/watch_online/crh00/JESUS/1_22335-jf6112-0-0
"Crioulo, Upper Guinea",,Guinea-Bissau,https://mylanguage.net.au/watch_online/pov00/JESUS/1_5059-jf6112-0-0
Croatian,,Bosnia and Herzegovina,https://mylanguage.net.au/watch_online/hrv00/JESUS/1_1109-jf6112-0-0
Croatian,,Croatia,https://mylanguage.net.au/watch_online/hrv00/JESUS/1_1109-jf6112-0-0
Croatian,,Kosovo,https://mylanguage.net.au/watch_online/hrv00/JESUS/1_1109-jf6112-0-0
Croatian,,Montenegro,https://mylanguage.net.au/watch_online/hrv00/JESUS/1_1109-jf6112-0-0
"Cuicateco, Tepeuxila",,Mexico,https://mylanguage.net.au/watch_online/cux00/JESUS/1_8284-jf6112-0-0
Czech,Česky,Czech Republic,https://mylanguage.net.au/watch_online/czc00/JESUS/1_4432-jf6112-0-0
Daba,,Cameroon,https://mylanguage.net.au/watch_online/dbq00/JESUS/1_2865-jf6112-0-0
Dadiya,,Nigeria,https://mylanguage.net.au/watch_online/Dad99/JESUS/1_10292-jf6112-0-0
"Dagaari, Northern",,Burkina Faso,https://mylanguage.net.au/watch_online/dgi00/JESUS/1_22197-jf6112-0-0
"Dagaari, Southern",,Ghana,https://mylanguage.net.au/watch_online/dgi00/JESUS/1_5188-jf6112-0-0
